D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.0
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.0
44901|2012|Honda|Civic|SUV|Gray|103221|6995.0
32567|2024|Ford|Raptor|Truck|Matte Black|27000|97000.0
10112|1993|Ford|Explorer|SUV|Red|525123|995.0
37846|2001|Ford|Ranger|Truck|Yellow|172544|1995.0
44901|2012|Honda|Civic|SUV|Gray|103221|6995.0
55219|2020|Toyota|Camry|Sedan|Blue|40211|22995.0
88341|2018|Chevrolet|Malibu|Sedan|Silver|51123|15950.0
77420|2015|Nissan|Altima|Sedan|Black|78200|11800.0
11345|2021|Tesla|Model 3|Sedan|White|18230|32995.0
99834|2023|BMW|X5|SUV|Black|5030|67990.0
66789|2014|Hyundai|Elantra|Sedan|White|102304|7250.0
90234|2010|Ford|F-150|Truck|Blue|155230|11995.0
56001|2005|Chevrolet|Impala|Sedan|Red|143201|4950.0
33489|2007|Honda|Odyssey|Van|Silver|183540|6450.0
12894|2022|Toyota|RAV4|SUV|Gray|14500|30995.0
67214|2019|Jeep|Wrangler|SUV|Green|45200|28950.0
88124|2020|Dodge|Charger|Sedan|Black|33300|27995.0
55102|2017|Subaru|Outback|SUV|Blue|62000|23500.0
21567|2011|Volkswagen|Jetta|Sedan|Silver|130122|6250.0
91823|2015|GMC|Acadia|SUV|White|80220|19900.0
10882|1999|Toyota|Corolla|Sedan|Gold|242998|2500.0
19032|2003|Nissan|Frontier|Truck|Red|202310|4995.0
77719|2014|Honda|Accord|Sedan|Gray|95500|13995.0
44112|2023|Ford|Bronco|SUV|Orange|2200|42995.0
55499|2021|Mazda|CX-5|SUV|Blue|17300|28995.0
62109|2017|Toyota|Highlander|SUV|White|70120|26500.0
88912|2018|Chevrolet|Tahoe|SUV|Black|56210|39900.0
79012|2022|Honda|Pilot|SUV|Silver|19900|36995.0
31902|2012|Ford|Escape|SUV|Gray|152330|8250.0
44002|2010|Kia|Sedona|Van|White|134910|5200.0
55921|2023|Nissan|Rogue|SUV|Black|3200|28950.0
23941|2016|Hyundai|Sonata|Sedan|Red|90311|11200.0
77831|2020|Chevrolet|Silverado 1500|Truck|Blue|40300|33995.0
92310|2014|Toyota|Sienna|Van|Silver|122990|15995.0
33582|2019|Volkswagen|Atlas|SUV|Black|48000|32900.0
11478|2008|Honda|CR-V|SUV|Brown|189233|6450.0
99821|2013|Ford|Focus|Sedan|Gray|148220|4950.0
22111|2009|BMW|328i|Sedan|Black|145331|8450.0
44310|2004|Chevrolet|TrailBlazer|SUV|Red|210399|3995.0
55124|2021|Toyota|Tacoma|Truck|White|12000|35995.0
77234|2020|Hyundai|Tucson|SUV|Silver|29000|22950.0
63811|2016|Jeep|Cherokee|SUV|Gray|85500|17900.0
90012|2015|Dodge|Durango|SUV|Blue|95020|21500.0
30018|2018|Kia|Optima|Sedan|Black|62010|15500.0
44820|1995|Ford|Aerostar|Van|White|298440|1200.0
77651|2007|Nissan|Quest|Van|Silver|201445|3500.0
47410|2023|Chevrolet|Blazer|SUV|Red|1400|34995.0
20129|2011|Hyundai|Santa Fe|SUV|Blue|143900|8750.0
99400|2013|Toyota|Prius|Sedan|Green|128330|8950.0
28911|2006|GMC|Sierra 1500|Truck|Black|211300|7495.0
77543|2022|Tesla|Model Y|SUV|White|6400|43995.0
11492|2009|Honda|Fit|Hatchback|Purple|154200|4250.0
66329|2018|Nissan|Sentra|Sedan|Red|72310|10900.0
22199|2019|Ford|Edge|SUV|Gray|50100|24400.0
55190|2020|Chevrolet|Equinox|SUV|Blue|38800|22995.0
77812|2017|Kia|Sportage|SUV|Black|74310|16500.0
94112|2012|Toyota|4Runner|SUV|White|156440|17990.0
55710|2021|Honda|Passport|SUV|Silver|21300|34995.0
11423|2014|Dodge|Grand Caravan|Van|Red|131444|8950.0
29801|2023|Hyundai|Elantra|Sedan|Blue|2600|21995.0
77219|2019|Toyota|Avalon|Sedan|Black|34000|28900.0
55188|2022|Ford|Maverick|Truck|Orange|5100|27995.0
11930|2011|Chevrolet|Avalanche|Truck|Gray|162210|15900.0
33892|2016|Nissan|Murano|SUV|Silver|90230|18900.0
88321|2017|Volkswagen|Passat|Sedan|White|78300|14900.0
99877|2020|Subaru|Forester|SUV|Green|33300|25995.0
47510|2023|GMC|Yukon|SUV|Black|1800|64950.0
11023|2013|Ford|Transit|Van|Blue|177340|13900.0
34419|2010|Toyota|Matrix|Hatchback|Gray|188499|4950.0
77600|2012|Honda|Ridgeline|Truck|Black|142900|14900.0
90022|2008|Chevrolet|Uplander|Van|White|201230|3200.0
55111|2021|Toyota|Corolla|Sedan|Silver|19200|19995.0
77251|2016|Kia|Rio|Sedan|Blue|103221|7450.0
22349|2019|Ford|Fusion|Sedan|Gray|54000|16900.0
10922|2023|Nissan|Pathfinder|SUV|Black|3000|36995.0
88201|2022|Toyota|Tundra|Truck|Red|9100|44950.0
44210|2017|Chevrolet|Colorado|Truck|White|72100|23900.0
33919|2015|Honda|Crosstour|Sedan|Brown|93400|12900.0
